======================================================================
  REPORTE: ASIGNACIÓN DE DEMANDAS REFEFO CON MILP (PuLP-CBC)
======================================================================

Estado base: /home/maximo/opticas/TpOpticas/Pablo_punto5/ocupacion_base_milp.csv
Demandas:    /home/maximo/opticas/TpOpticas/Pablo_punto5/refefo/demandas_refefo.csv
Big-M:       310
TimeLimit:   120s | GapRel: 0.05

--- ESTADO BASE ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  S_max:            136

--- MODELO MILP ---
  Variables totales:    3898
  Restricciones:        7594
  Vars base (z):        409
  Vars solapamiento (x): 3288
  Estado solver:        Not Solved
  Tiempo:               120.00s

--- RESULTADOS REFEFO ---
  Demandas REFEFO totales:        200
  Demandas asignadas con éxito:   0
  Demandas bloqueadas:            200
  Probabilidad de bloqueo:        100.00%

--- ESTADO FINAL DE LA RED ---
  Enlaces:          446
  Slots ocupados:   7074 / 135584
  Ocupación:        5.22%
  S_max:            136

  Δ Slots ocupados: +0
  Δ S_max:          136 → 136

--- DETALLE POR DEMANDA ---
 Iter | Source                    | Destination               |  Gbps | Resultado                           | K_Path |  Slot
  187 | Tostado                   | Parana                    |   100 | BLOQUEADA (infactible)              |      - |     -
  188 | Arrecifes                 | San Juan                  |   400 | BLOQUEADA (infactible)              |      - |     -
  189 | La Falda                  | Embarcacion               |   200 | BLOQUEADA (infactible)              |      - |     -
  190 | Colonia Las Heras         | Trelew                    |   400 | BLOQUEADA (infactible)              |      - |     -
  191 | Ceres                     | Epuyen                    |   100 | BLOQUEADA (infactible)              |      - |     -
  192 | Bragado                   | Lib Gral San Martin       |   400 | BLOQUEADA (infactible)              |      - |     -
  193 | Resistencia               | Campana                   |   400 | BLOQUEADA (infactible)              |      - |     -
  194 | Esperanza (StaCruz)       | Epuyen                    |   300 | BLOQUEADA (infactible)              |      - |     -
  195 | Puerto San Julian         | San Rafael                |   100 | BLOQUEADA (infactible)              |      - |     -
  196 | San Marcos                | La Plata                  |   200 | BLOQUEADA (infactible)              |      - |     -
  197 | Mendoza                   | Rio Gallegos              |   400 | BLOQUEADA (infactible)              |      - |     -
  198 | Santiago del Estero       | El Condor                 |   300 | BLOQUEADA (infactible)              |      - |     -
  199 | Ceres                     | V. Mercedes               |   100 | BLOQUEADA (infactible)              |      - |     -
  200 | Jaramillo                 | Tres lagos                |   200 | BLOQUEADA (infactible)              |      - |     -
