Region;Origen;Destino;Cantidad de Enlaces;Velocidad [Gbps];Ruta;Distancia_km;GSNR_Total_dB;Umbral_OSNR_dB;Factible;Necesito_Regeneracion;Reg_Factible;Reg_Count;Ruta_Regenerada;Nodos_Regeneradores;Necesito Bajada;Factible con bajada;Velocidad_Ajustada [Gbps];GSNR_Total_dB;Umbral_OSNR_dB
Norte;San Jose de Metan;Salta;4;100;San Jose de Metan - Salta;151;25.83;11.80;SI;NO;;0;;;NO;;;;
Norte;Salta;Jujuy;1;100;Salta - Jujuy;134;28.79;11.80;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;San Jose de Metan;1;200;San Salvador de Jujuy - San Jose de Metan;285;24.23;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;Saenz Peña;1;200;San Salvador de Jujuy - San Jose de Metan - Saenz Peña;854;20.56;20.50;SI;NO;;0;;;NO;;;;
Norte;Saenz Peña;Resistencia;1;200;Saenz Peña - Resistencia;177;25.81;20.50;SI;NO;;0;;;NO;;;;
Norte;San Jose de Metan;Saenz Peña;4;100;San Jose de Metan - Saenz Peña;569;22.87;11.80;SI;NO;;0;;;NO;;;;
Norte;Saenz Peña;Resistencia;4;100;Saenz Peña - Resistencia;177;25.81;11.80;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;San Pedro;1;200;San Salvador de Jujuy - San Pedro;70;29.93;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;San Martin;1;200;San Salvador de Jujuy - San Pedro - San Martin;126;27.56;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;Embarcacion;1;200;San Salvador de Jujuy - San Pedro - San Martin - Embarcacion;237;25.16;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;Juan Page;1;200;San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page;437;23.52;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;Las Lomitas;1;200;San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas;666;22.03;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;Formosa;1;200;San Salvador de Jujuy - San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa;1005;20.83;20.50;SI;NO;;0;;;NO;;;;
Norte;San Pedro;Resistencia;1;200;San Pedro - San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia;1156;20.46;20.50;NO;SI;SI;1;San Pedro Jujuy -> Lib Gral San Martin (27.49 dB) -> Embarcacion (24.46 dB) -> Cap Juan Page (22.15 dB) -> Las Lomitas (20.51 dB) [REG]-> Formosa (23.47 dB) -> Resistencia (21.50 dB);Las Lomitas;NO;;;;
Norte;San Martin;Resistencia;1;200;San Martin - Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia;1100;20.83;20.50;SI;NO;;0;;;NO;;;;
Norte;Embarcacion;Resistencia;1;200;Embarcacion - Juan Page - Las Lomitas - Formosa - Resistencia;989;21.57;20.50;SI;NO;;0;;;NO;;;;
Norte;Juan Page;Resistencia;1;200;Juan Page - Las Lomitas - Formosa - Resistencia;789;22.55;20.50;SI;NO;;0;;;NO;;;;
Norte;Las Lomitas;Resistencia;1;200;Las Lomitas - Formosa - Resistencia;560;24.28;20.50;SI;NO;;0;;;NO;;;;
Norte;Formosa;Resistencia;1;200;Formosa - Resistencia;221;27.58;20.50;SI;NO;;0;;;NO;;;;
Norte;San Salvador de Jujuy;San Pedro;4;100;San Salvador de Jujuy - San Pedro;70;29.93;11.80;SI;NO;;0;;;NO;;;;
Norte;San Pedro;San Martin;4;100;San Pedro - San Martin;56;30.48;11.80;SI;NO;;0;;;NO;;;;
Norte;San Martin;Embarcacion;4;100;San Martin - Embarcacion;111;28.39;11.80;SI;NO;;0;;;NO;;;;
Norte;Embarcacion;Juan Page;4;100;Embarcacion - Juan Page;200;28.08;11.80;SI;NO;;0;;;NO;;;;
Norte;Juan Page;Las Lomitas;4;100;Juan Page - Las Lomitas;229;27.02;11.80;SI;NO;;0;;;NO;;;;
